"Time"	"Function"	"Ncol"	"Nrow"	"Type"
15097	"loop"	10	10	"matrix"
36503	"apply"	10	10	"matrix"
7812	"colSums"	10	10	"matrix"
35778	"apply"	10	10	"matrix"
16756	"loop"	10	10	"matrix"
14643	"loop"	10	10	"matrix"
8049	"colSums"	10	10	"matrix"
39557	"apply"	10	10	"matrix"
16943	"loop"	10	10	"matrix"
8401	"colSums"	10	10	"matrix"
6949	"colSums"	10	10	"matrix"
38049	"apply"	10	10	"matrix"
40351	"apply"	10	10	"matrix"
38693	"apply"	10	10	"matrix"
36017	"apply"	10	10	"matrix"
8073	"colSums"	10	10	"matrix"
37049	"apply"	10	10	"matrix"
7922	"colSums"	10	10	"matrix"
37957	"apply"	10	10	"matrix"
15303	"loop"	10	10	"matrix"
7766	"colSums"	10	10	"matrix"
36810	"apply"	10	10	"matrix"
7895	"colSums"	10	10	"matrix"
6490	"colSums"	10	10	"matrix"
6102	"colSums"	10	10	"matrix"
37991	"apply"	10	10	"matrix"
7465	"colSums"	10	10	"matrix"
15946	"loop"	10	10	"matrix"
6985	"colSums"	10	10	"matrix"
14758	"loop"	10	10	"matrix"
35694	"apply"	10	10	"matrix"
36377	"apply"	10	10	"matrix"
7913	"colSums"	10	10	"matrix"
15692	"loop"	10	10	"matrix"
6574	"colSums"	10	10	"matrix"
6624	"colSums"	10	10	"matrix"
6536	"colSums"	10	10	"matrix"
14716	"loop"	10	10	"matrix"
37914	"apply"	10	10	"matrix"
7711	"colSums"	10	10	"matrix"
16000	"loop"	10	10	"matrix"
14303	"loop"	10	10	"matrix"
14810	"loop"	10	10	"matrix"
